등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
E,87000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S20 울트라,256GB
D,450000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로,128GB
A,800000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,128GB
A,165000.0,개봉,"전면, 후면, 테두리","전면, 테두리",없음,없음,"터치, 배터리성능저하",갤럭시 A52S,128GB
A,455000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로 맥스,256GB
A,480000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,갤럭시 S22 플러스,256GB
E,152000.0,개봉,없음,"전면, 후면",없음,잔상있음,없음,아이폰 11 프로 맥스,64GB
A,725000.0,개봉,테두리,전면,없음,없음,배터리성능저하,갤럭시 S23 플러스,256GB
D,242000.0,개봉,전면,전면,없음,잔상있음,없음,아이폰 12,128GB
E,317000.0,개봉,"전면, 테두리",전면,없음,없음,없음,아이폰 13 프로맥스,128GB
D,95000.0,개봉,테두리,없음,없음,없음,없음,아이폰 X,64GB
D,242000.0,개봉,없음,없음,없음,없음,없음,아이폰 12,128GB
E,317000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로맥스,128GB
D,95000.0,개봉,없음,없음,없음,없음,없음,아이폰 X,64GB
E,95000.0,개봉,전면,테두리,없음,없음,배터리성능저하,갤럭시S21,256GB
D,292000.0,개봉,"전면, 후면, 테두리",테두리,없음,없음,없음,아이폰 12 프로,128GB
E,125000.0,개봉,없음,후면,없음,없음,배터리성능저하,아이폰 11 프로,256GB
B,155000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 배터리성능저하",검수중,갤럭시 S10 5G,512GB
A,75000.0,개봉,테두리,"전면, 후면",없음,없음,없음,아이폰 7,32GB
A,172000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,갤럭시 Z플립,256GB
D,349000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,없음,아이폰 12 프로,256GB
C,2000.0,개봉,없음,없음,없음,없음,없음,갤럭시 J2 Pro,16GB
D,322000.0,개봉,"후면, 테두리",후면,LCD 파손,없음,검수중,아이폰 12 프로,128GB
E,93000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 12,128GB
C,74000.0,개봉,전면,없음,없음,없음,없음,갤럭시 S8 플러스,64GB
D,237000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
C,123000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트 10,256GB
A,156000.0,개봉,테두리,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
E,60000.0,개봉,테두리,없음,없음,없음,없음,아이폰 XS,64GB
D,98000.0,개봉,테두리,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
C,791000.0,미개봉,없음,없음,없음,없음,없음,아이폰 14 프로,256GB
A,400000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,갤럭시 노트20 울트라,256GB
B,344000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,갤럭시S21 울트라,256GB
S,911000.0,개봉,후면,"후면, 테두리",없음,없음,펜분실,갤럭시Z플립5,512GB
D,322000.0,개봉,"후면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 프로,128GB
D,1000.0,개봉,테두리,"전면, 후면, 테두리",없음,없음,배터리성능저하,갤럭시 노트 3,16GB
D,520000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 프로,256GB
D,108000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 XS,64GB
D,359000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
D,202000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12 미니,256GB
A,82000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 A22,128GB
D,108000.0,개봉,"전면, 후면, 테두리",전면,없음,없음,배터리성능저하,아이폰 XS,64GB
D,359000.0,개봉,테두리,테두리,LCD 파손,"계정잠김, 배터리성능저하",검수중,아이폰 12 프로,256GB
D,202000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 미니,256GB
A,82000.0,개봉,후면,"전면, 테두리",없음,없음,없음,갤럭시 A22,128GB
C,410000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 미니,256GB
B,125000.0,개봉,없음,없음,없음,없음,배터리성능저하,갤럭시 노트 9,128GB
D,35000.0,개봉,테두리,없음,없음,없음,없음,아이폰 7,128GB
E,35000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13 미니,256GB
B,425000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,128GB
C,68000.0,개봉,테두리,전면,없음,없음,없음,갤럭시 A51,128GB
D,394000.0,개봉,없음,전면,없음,없음,없음,아이폰 13,128GB
B,297000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,없음,아이폰 12,128GB
D,312000.0,개봉,없음,전면,LCD 파손,없음,검수중,아이폰 12 프로,128GB
D,247000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,없음,아이폰 11 프로,256GB
D,453000.0,개봉,후면,"전면, 테두리",없음,없음,배터리성능저하,아이폰 13 프로,256GB
C,27000.0,개봉,후면,"전면, 테두리",없음,없음,배터리성능저하,아이폰 6S,32GB
E,4000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S8,64GB
C,27000.0,개봉,없음,"전면, 후면",LCD 파손,터치,검수중,아이폰 6S,32GB
D,170000.0,개봉,전면,테두리,없음,없음,"전원, 충전, 배터리성능저하",아이폰 12,64GB
A,83000.0,개봉,전면,"전면, 테두리",없음,없음,배터리성능저하,갤럭시 S8,64GB
D,170000.0,개봉,없음,없음,LCD 파손,없음,검수중,아이폰 12,64GB
A,83000.0,개봉,"후면, 테두리",테두리,없음,없음,"카메라, 배터리성능저하",갤럭시 S8,64GB
E,32000.0,개봉,"후면, 테두리",테두리,없음,없음,"카메라, 배터리성능저하",갤럭시 노트 10 플러스,256GB
F,25000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"배터리성능저하, 생체인식",아이폰 12 미니,64GB
D,197000.0,개봉,없음,"전면, 테두리",없음,없음,없음,아이폰 11 프로,64GB
D,322000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
E,57000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 XS,64GB
D,103000.0,개봉,없음,없음,없음,없음,"생체인식, 배터리성능저하",아이폰 11,128GB
D,242000.0,개봉,"전면, 테두리",전면,없음,없음,없음,아이폰 12 프로,128GB
D,162000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,배터리성능저하,아이폰 11,64GB
D,162000.0,개봉,테두리,없음,LCD 파손,"카메라, 배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 11,64GB
D,105000.0,개봉,테두리,없음,LCD 파손,"카메라, 배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 SE2 (2020),128GB
D,257000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,배터리성능저하,아이폰 11 프로,256GB
D,22000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,배터리성능저하,아이폰 7,32GB
D,95000.0,개봉,테두리,없음,LCD 파손,"카메라, 배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 SE2 (2020),128GB
D,339000.0,개봉,전면,없음,없음,없음,없음,아이폰 12 프로,256GB
E,137000.0,개봉,전면,전면,LCD 파손,없음,검수중,아이폰 11 프로 맥스,256GB
C,775000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 14 프로,256GB
E,45000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 카메라, 생체인식",검수중,갤럭시 S20,128GB
D,242000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 카메라, 생체인식",검수중,아이폰 12,128GB
E,137000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 11 프로 맥스,256GB
C,775000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,256GB
E,45000.0,개봉,"전면, 후면",테두리,없음,없음,"배터리성능저하, 스피커, 마이크, 진동",갤럭시 S20,128GB
